Name,Height,Weight,Nationality
L. Goretzka,189,82,Germany
Bruno Fernandes,179,69,Portugal
M. Acuña,172,69,Argentina
K. De Bruyne,181,70,Belgium
N. Barella,172,68,Italy
J. Kimmich,177,75,Germany
D. Alaba,180,78,Austria
22 Paulinho,183,80,Brazil
E. Can,186,86,Germany
João Cancelo,182,74,Portugal
L. Pellegrini,186,77,Italy
L. Modrić,172,66,Croatia
S. Milinković-Savić,191,76,Serbia
Merino,189,83,Spain
Marcos Llorente,184,74,Spain
R. De Paul,180,70,Argentina
I. Perišić,186,80,Croatia
F. de Jong,180,74,Netherlands
A. Griezmann,176,73,France
J. Cuadrado,179,72,Colombia
F. Kostić,184,84,Serbia
T. Alexander-Arnold,180,69,England
L. Suárez,182,86,Uruguay
A. Hakimi,181,73,Morocco
M. Brozović,181,68,Croatia
M. Salah,175,71,Egypt
S. Tonali,181,79,Italy
Thiago,174,70,Spain
R. James,178,87,England
Jordi Alba,170,68,Spain
T. Lemar,171,63,France
Renato Sanches,176,70,Portugal
Canales,176,65,Spain
I. Bennacer,175,70,Algeria
Alex Telles,181,71,Brazil
R. Malinovskyi,181,79,Ukraine
W. McKennie,183,84,United States
Casemiro,185,84,Brazil
Angeliño,171,69,Spain
F. Kessié,183,88,Côte d'Ivoire
L. Digne,178,74,France
R. Lewandowski,185,81,Poland
22 A. Vidal,180,75,Chile
N. De la Cruz,167,65,Uruguay
C. Nkunku,175,73,France
K. Walker,183,83,England
T. Hernández,184,81,France
İ. Gündoğan,180,80,Germany
B. Bourigeaud,178,68,France
R. Gosens,183,76,Germany
G. Wijnaldum,175,74,Netherlands
C. Tolisso,181,81,France
H. Kane,188,89,England
Koke,176,77,Spain
J. Tavernier,182,75,England
J. Henderson,182,80,England
L. Messi,169,67,Argentina
M. Verratti,165,60,Italy
M. Uribe,183,77,Colombia
F. Valverde,182,78,Uruguay
S. Mané,174,69,Senegal
L. Ocampos,188,84,Argentina
Lucas Paquetá,180,72,Brazil
Sergi Darder,180,71,Spain
Y. Tielemans,176,72,Belgium
Fred,169,62,Brazil
Bernardo Silva,173,64,Portugal
Grimaldo,172,67,Spain
Carlos Soler,180,76,Spain
Diogo Jota,178,73,Portugal
J. Bellingham,186,75,England
G. Kondogbia,188,80,Central African Republic
K. Trippier,173,71,England
19 C. Marchisio,180,74,Italy
T. Delaney,182,79,Denmark
K. Mbappé,182,73,France
S. Obisanya,185,77,Nigeria
Yuri Berchiche,181,80,Spain
J. Corona,173,66,Mexico
L. Robertone,175,70,Argentina
M. Sabitzer,178,76,Austria
H. Çalhanoğlu,178,76,Turkey
Rúben Neves,180,80,Portugal
Ó. Trejo,180,79,Argentina
